Variable_1,Variable_2,Lag,Correlation,P-value,Significant (p < 0.05)
climbingDenivelation,climbing,next_4_days,0.18406844489485397,2.5900754579393436e-16,True
cycling,climbingMeanEffortIntensity,next_4_days,0.1839781563582983,2.6795462139164427e-16,True
climbingMaxEffortIntensity,climbing,next_3_days,0.1837722955478422,2.8950821374740565e-16,True
climbingMeanEffortIntensity,cycling,next_4_days,0.18375124484112007,2.9180617605209393e-16,True
cycling,climbingMaxEffortIntensity,next_3_days,0.1837268004650987,2.944971511412922e-16,True
scooterRiding,kneePain,next_5_days,0.1836452176480219,3.0365636722147693e-16,True
climbingDenivelation,climbingMaxEffortIntensity,next_4_days,0.18251504633395207,4.634611144100294e-16,True
timeDrivingCar,tracker_mean_denivelation,same_day,0.18111174775352007,6.159818446748611e-15,True
tracker_mean_denivelation,timeDrivingCar,same_day,0.18111174775352007,6.159818446748611e-15,True
climbingMaxEffortIntensity,climbing,next_2_days,0.1807601920203349,8.888063059257107e-16,True
scooterRiding,kneePain,next_4_days,0.18026189774767398,1.0680453363405312e-15,True
kneePain,scooterRiding,next_3_days,0.18025076512115357,1.072431439063572e-15,True
climbingMaxEffortIntensity,climbingDenivelation,next_5_days,0.17891266092166225,1.7517454128718382e-15,True
climbingMaxEffortIntensity,cycling,next_3_days,0.17855283779552253,1.9975343422043227e-15,True
climbing,climbingMaxEffortIntensity,next_day,0.17725025921200968,3.2057334132316246e-15,True
climbingMeanEffortIntensity,climbingMaxEffortIntensity,next_5_days,0.17676631875528398,3.818162467881259e-15,True
scooterRiding,kneePain,next_3_days,0.17453349719846908,8.499461606642336e-15,True
cycling,climbing,next_3_days,0.17409429579050506,9.936103491601516e-15,True
climbingDenivelation,climbing,next_3_days,0.17362473060512834,1.1736399808822214e-14,True
foreheadEyesPain,swimming,next_5_days,0.17332771538588998,1.303691810986841e-14,True
scooterRiding,surfing,next_2_days,0.1732839314154642,1.3240246592991678e-14,True
foreheadEyesPain,swimmingKm,next_5_days,0.17199490402615358,2.0844285011621992e-14,True
climbingDenivelation,climbing,next_2_days,0.17109193507000156,2.858565561716065e-14,True
foreheadEyesPain,swimmingKm,next_4_days,0.17050948708243574,3.501292147571297e-14,True
climbingDenivelation,climbingMaxEffortIntensity,next_3_days,0.17024673738991206,3.835848473674629e-14,True
climbing,cycling,next_4_days,0.16993077753960553,4.279939402975584e-14,True
foreheadEyesPain,swimming,next_4_days,0.16992639894934203,4.28643553022684e-14,True
climbingMaxEffortIntensity,climbing,next_day,0.16962646806081444,4.755254304359617e-14,True
climbing,cycling,next_5_days,0.1696257717720668,4.7563992223972696e-14,True
cycling,climbingDenivelation,next_4_days,0.16901827857111923,5.865828777224048e-14,True
viaFerrata,timeDrivingCar,same_day,0.16864059932290604,6.582548290686002e-14,True
timeDrivingCar,viaFerrata,same_day,0.16864059932290604,6.582548290686002e-14,True
climbingDenivelation,climbingMaxEffortIntensity,next_2_days,0.16841629974384176,7.214786306220947e-14,True
climbing,climbingMeanEffortIntensity,next_4_days,0.16756796189366682,9.646028898014295e-14,True
kneePain,scooterRiding,next_2_days,0.16748782958811517,9.913530774560313e-14,True
climbingMeanEffortIntensity,cycling,next_5_days,0.16724074818214568,1.0785048977580312e-13,True
cycling,climbingDenivelation,next_5_days,0.16625345367688202,1.5083169038674946e-13,True
climbingDenivelation,climbingMaxEffortIntensity,next_day,0.16584873794882227,1.7296231175626689e-13,True
climbingDenivelation,climbing,next_day,0.16398273166040844,3.2372865102586885e-13,True
scooterRiding,kneePain,next_2_days,0.1636854042461279,3.5749297287331514e-13,True
climbingMeanEffortIntensity,climbing,next_4_days,0.1636679800068245,3.595754399066319e-13,True
climbing,cycling,next_3_days,0.16330539088722912,4.0571399471921847e-13,True
climbing,climbingDenivelation,next_4_days,0.1628064946911107,4.788131213326119e-13,True
climbingMaxEffortIntensity,climbingMeanEffortIntensity,next_4_days,0.16253810007480227,5.233335260677902e-13,True
climbingMeanEffortIntensity,cycling,next_2_days,0.16219853123065395,5.855143507822825e-13,True
foreheadEyesPain,swimmingKm,next_3_days,0.1616109680758942,7.106585697125118e-13,True
foreheadEyesPain,swimming,next_3_days,0.1604364973868859,1.044439080774372e-12,True
climbing,climbingDenivelation,next_2_days,0.16037841176570652,1.0644400590311297e-12,True
surfing,scooterRiding,next_3_days,0.15938642681229206,1.470088251616605e-12,True
climbing,climbingDenivelation,next_day,0.15887651538126102,1.734116520262022e-12,True
climbing,climbingMeanEffortIntensity,next_3_days,0.15696594693861052,3.204690421716527e-12,True
swimmingKm,foreheadEyesPain,next_5_days,0.1568909765882937,3.282350742190536e-12,True
surfing,scooterRiding,next_4_days,0.1563020842965954,3.9599847225053955e-12,True
climbingMeanEffortIntensity,climbingMaxEffortIntensity,next_4_days,0.15595099500986595,4.427312350756605e-12,True
surfing,scooterRiding,next_5_days,0.155786263813959,4.664803605676117e-12,True
climbingDenivelation,tracker_mean_denivelation,same_day,0.15340077547662825,4.355962222792512e-11,True
tracker_mean_denivelation,climbingDenivelation,same_day,0.15340077547662825,4.355962222792512e-11,True
climbingMaxEffortIntensity,climbingDenivelation,next_4_days,0.15328546851776054,1.0241514464917749e-11,True
cycling,climbingMaxEffortIntensity,next_2_days,0.15256361605653668,1.2820633922114449e-11,True
swimmingKm,foreheadEyesPain,next_4_days,0.1525018131883276,1.306891316761193e-11,True
climbing,climbingMeanEffortIntensity,next_day,0.1520697086890057,1.4941176444009226e-11,True
climbingMeanEffortIntensity,climbingMaxEffortIntensity,next_day,0.15206742030544146,1.4951758856249944e-11,True
climbing,climbingDenivelation,next_3_days,0.15205828679282107,1.499406902461634e-11,True
scooterRiding,manicTimeDelta_corrected,next_5_days,0.15156384993265629,1.7468016837658048e-11,True
climbingMeanEffortIntensity,climbing,next_3_days,0.1507420450197272,2.249055146858859e-11,True
climbingMeanEffortIntensity,climbing,next_day,0.15043798788010493,2.468632638263515e-11,True
wholeArm,manicTimeDelta_corrected,same_day,0.1500013863232767,2.7884074899151098e-11,True
manicTimeDelta_corrected,wholeArm,same_day,0.1500013863232767,2.7884074899151098e-11,True
climbingMaxEffortIntensity,climbingDenivelation,next_day,0.14994742186987364,2.8678450210470037e-11,True
climbingMaxEffortIntensity,cycling,next_2_days,0.14966341044197382,3.127137508932339e-11,True
swimmingKm,foreheadEyesPain,next_3_days,0.14950761435747933,3.2789703906149885e-11,True
climbingDenivelation,climbingMeanEffortIntensity,next_5_days,0.14900511303132224,3.8194687859975794e-11,True
climbing,climbingMeanEffortIntensity,next_2_days,0.14887038009257492,3.978618439090364e-11,True
climbingMaxEffortIntensity,climbingMeanEffortIntensity,next_3_days,0.14790700300879067,5.321486292816363e-11,True
kneePain,scooterRiding,next_day,0.14769232027337004,5.6763119544364566e-11,True
foreheadEyesPain,swimmingKm,next_2_days,0.14759159794973806,5.850655515336162e-11,True
cycling,climbing,next_2_days,0.1472469483792095,6.487731327018876e-11,True
swimming,foreheadEyesPain,next_5_days,0.1469248275112131,7.144172472646562e-11,True
scooterRiding,kneePain,next_day,0.14661279577569847,7.841739519895852e-11,True
climbingMaxEffortIntensity,climbingDenivelation,next_2_days,0.14587943267770495,9.753648134126544e-11,True
climbingMaxEffortIntensity,climbingMeanEffortIntensity,next_day,0.14552988687004373,1.0818402314764935e-10,True
foreheadEyesPain,swimming,next_2_days,0.14454271015904813,1.4476280172048357e-10,True
climbingMeanEffortIntensity,climbingMaxEffortIntensity,next_3_days,0.14370327734788002,1.851582007714878e-10,True
climbingMeanEffortIntensity,climbing,next_2_days,0.14347647561861668,1.9784053936566782e-10,True
cycling,climbingMeanEffortIntensity,next_3_days,0.14240532883526544,2.701406158834185e-10,True
scooterRiding,manicTimeDelta_corrected,next_4_days,0.1415300386041505,3.478404556433428e-10,True
swimming,foreheadEyesPain,next_4_days,0.1414126833353363,3.5978999222254617e-10,True
wholeArm,kneePain,next_5_days,0.1413501939382877,3.663153263487973e-10,True
wholeArm,kneePain,next_4_days,0.14069265084484875,4.423699249533684e-10,True
wholeArm,kneePain,next_3_days,0.1406173421268837,4.520067161809737e-10,True
surfing,scooterRiding,next_2_days,0.13983003062248758,5.658391983279022e-10,True
climbingMaxEffortIntensity,climbingDenivelation,next_3_days,0.1393754151216487,6.438315853179202e-10,True
climbingMaxEffortIntensity,climbingMeanEffortIntensity,next_2_days,0.13890319660889305,7.359207069349669e-10,True
timeDrivingCar,climbingMeanEffortIntensity,same_day,0.13885783919570716,7.380117239389097e-10,True
climbingMeanEffortIntensity,timeDrivingCar,same_day,0.13885783919570716,7.380117239389097e-10,True
wholeArm,kneePain,next_2_days,0.13792493085176027,9.693618252927547e-10,True
climbingDenivelation,cycling,next_5_days,0.13761578773296754,1.0571191280621843e-09,True
swimmingKm,foreheadEyesPain,next_2_days,0.13754587400574392,1.0780137313838756e-09,True
cycling,climbingDenivelation,next_3_days,0.13720524560475392,1.1857084727774722e-09,True
scooterRiding,wholeArm,next_day,0.13720427654265552,1.1860293226002145e-09,True
climbingMeanEffortIntensity,climbingMaxEffortIntensity,next_2_days,0.13686128189961427,1.3050689720964978e-09,True
scooterRiding,kneePain,same_day,0.13651931964807412,1.4215189050613847e-09,True
kneePain,scooterRiding,same_day,0.1365193196480741,1.4215189050613847e-09,True
climbingMeanEffortIntensity,climbingDenivelation,next_5_days,0.13617126617061118,1.5808312440759767e-09,True
timeDrivingCar,tracker_mean_distance,next_5_days,0.1361623816945184,1.5847279961931516e-09,True
swimming,foreheadEyesPain,next_3_days,0.13590819516201014,1.7002629301027351e-09,True
scooterRiding,swimming,next_5_days,0.1356824634962388,1.8097097896801066e-09,True
timeDrivingCar,tracker_mean_distance,next_4_days,0.13539773455844167,1.9575790512692055e-09,True
climbing,cycling,next_2_days,0.13500032527383266,2.183787560705872e-09,True
tracker_mean_denivelation,climbing,same_day,0.13469303832489457,7.485344730361735e-09,True
climbing,tracker_mean_denivelation,same_day,0.13469303832489457,7.485344730361735e-09,True
climbingDenivelation,cycling,next_4_days,0.1333131702974515,3.4617392232782507e-09,True
scooterRiding,wholeArm,next_2_days,0.13310519201555857,3.6625812123259903e-09,True
climbingDenivelation,climbingMeanEffortIntensity,next_4_days,0.1327574921453611,4.023931743702254e-09,True
timeDrivingCar,tracker_mean_denivelation,next_4_days,0.1325345140716457,1.2639022107150877e-08,True
timeDrivingCar,climbing,same_day,0.13219091466686858,4.645988783428021e-09,True
climbing,timeDrivingCar,same_day,0.13219091466686858,4.645988783428021e-09,True
timeDrivingCar,climbingMaxEffortIntensity,same_day,0.13105932430378275,6.292859485498297e-09,True
climbingMaxEffortIntensity,timeDrivingCar,same_day,0.13105932430378275,6.292859485498297e-09,True
foreheadEyesPain,swimmingKm,next_day,0.130834308266268,6.7417494137066595e-09,True
wholeArm,manicTimeDelta_corrected,next_day,0.13030081938674237,7.769164042043861e-09,True
scooterRiding,manicTimeDelta_corrected,next_3_days,0.1298294101511368,8.80241946996287e-09,True
swimmingKm,foreheadEyesPain,same_day,0.12910002201281337,1.0577203884543884e-08,True
foreheadEyesPain,swimmingKm,same_day,0.12910002201281337,1.0577203884543884e-08,True
timeDrivingCar,climbingDenivelation,same_day,0.12881245728851107,1.1407493996736029e-08,True
climbingDenivelation,timeDrivingCar,same_day,0.12881245728851104,1.1407493996736029e-08,True
scooterRiding,wholeArm,next_5_days,0.12747976589864662,1.6293563901262137e-08,True
timeDrivingCar,tracker_mean_denivelation,next_5_days,0.12718496563627507,4.7415096191709644e-08,True
wholeArm,manicTimeDelta_corrected,next_2_days,0.12686064632093813,1.9128575954905983e-08,True
swimmingKm,foreheadEyesPain,next_day,0.12685813017730332,1.9141020700696553e-08,True
wholeArm,kneePain,next_day,0.1265383450590699,2.0788275302363606e-08,True
manicTimeDelta_corrected,wholeArm,next_day,0.12644662413076765,2.128558679267607e-08,True
timeDrivingCar,tracker_mean_distance,next_3_days,0.12618308354247182,2.277957907622546e-08,True
scooterRiding,wholeArm,next_3_days,0.12615483535608216,2.2945624225116977e-08,True
foreheadEyesPain,swimming,next_day,0.1259607875796815,2.4118402995526472e-08,True
climbingDenivelation,cycling,next_3_days,0.1252600914319019,2.8856923248749685e-08,True
swimming,foreheadEyesPain,next_2_days,0.12468812401731963,3.338302219671708e-08,True
climbingDenivelation,climbingMeanEffortIntensity,next_day,0.12445313030000635,3.543567848243041e-08,True
climbing,tracker_mean_denivelation,next_4_days,0.12412050765885278,1.0002938299916021e-07,True
scooterRiding,swimming,next_4_days,0.1240055308203036,3.968901284148007e-08,True
scooterRiding,wholeArm,next_4_days,0.12397836628856841,3.996248156708894e-08,True
climbingDenivelation,tracker_mean_denivelation,next_5_days,0.1239455806742711,1.034482706711723e-07,True
tracker_mean_distance,tracker_mean_denivelation,next_3_days,0.12365624184002516,1.125867274605896e-07,True
tracker_mean_distance,tracker_mean_denivelation,next_4_days,0.12333845764128336,1.20425238536097e-07,True
tracker_mean_denivelation,climbingDenivelation,next_5_days,0.1232769406351864,1.2611999848898745e-07,True
scooterRiding,swimming,next_3_days,0.12295818287080765,5.16641217541348e-08,True
scooterRiding,wholeArm,same_day,0.12251389614126511,5.729197457519982e-08,True
wholeArm,scooterRiding,same_day,0.1225138961412651,5.729197457519982e-08,True
climbingMeanEffortIntensity,climbingDenivelation,next_day,0.12079593676392136,8.843555891206321e-08,True
cycling,climbingMeanEffortIntensity,next_2_days,0.12076190799124102,8.91802296179388e-08,True
tracker_mean_denivelation,climbingMaxEffortIntensity,same_day,0.12041583192277545,2.4399165999541595e-07,True
climbingMaxEffortIntensity,tracker_mean_denivelation,same_day,0.12041583192277544,2.4399165999541595e-07,True
climbingDenivelation,tracker_mean_denivelation,next_4_days,0.1201882588979263,2.513903107091614e-07,True
climbing,tracker_mean_denivelation,next_5_days,0.11989580946915324,2.6690757186110664e-07,True
climbingMaxEffortIntensity,tracker_mean_denivelation,next_4_days,0.11932366445944083,3.066735280287996e-07,True
tracker_mean_denivelation,climbing,next_5_days,0.11923532489460903,3.223630584041813e-07,True
manicTimeDelta_corrected,surfing,next_3_days,0.11823393921856747,1.6520632518154795e-07,True
tracker_mean_denivelation,climbingMaxEffortIntensity,next_5_days,0.11769214439052601,4.5761856855908413e-07,True
scooterRiding,manicTimeDelta_corrected,next_2_days,0.117376029118435,2.03072352114789e-07,True
surfing,scooterRiding,next_day,0.11724502409247982,2.095468860983119e-07,True
climbingDenivelation,climbingMeanEffortIntensity,next_3_days,0.11696203659012314,2.2422010180193432e-07,True
tracker_mean_denivelation,climbing,next_4_days,0.11683709227010136,5.546149308610587e-07,True
whatPulseT_corrected,surfing,next_3_days,0.11665149041002776,2.4146353822238486e-07,True
wholeArm,manicTimeDelta_corrected,next_3_days,0.11596785852488437,2.8405027955490564e-07,True
climbingMaxEffortIntensity,tracker_mean_denivelation,next_5_days,0.1151030696422747,7.879065819320955e-07,True
swimming,foreheadEyesPain,next_day,0.11500369257684269,3.566225874369916e-07,True
wholeArm,manicTimeDelta_corrected,next_4_days,0.11497492682199424,3.590415848467652e-07,True
tracker_mean_distance,tracker_mean_denivelation,next_5_days,0.11464279680177561,8.722752869810538e-07,True
tracker_mean_denivelation,climbingDenivelation,next_4_days,0.11403912240327038,1.0306361439834665e-06,True
manicTimeDelta_corrected,surfing,next_4_days,0.1139935647375204,4.517336836110444e-07,True
scooterRiding,swimming,next_2_days,0.11345611076344693,5.118670829141198e-07,True
tracker_mean_denivelation,climbingMaxEffortIntensity,next_4_days,0.1126839718475359,1.3842131077690553e-06,True
wholeArm,manicTimeDelta_corrected,next_5_days,0.1124846204403179,6.406770025756612e-07,True
tracker_mean_distance,timeDrivingCar,next_4_days,0.1122096968344479,6.824643420463692e-07,True
tracker_mean_distance,timeDrivingCar,next_5_days,0.11192867882800943,7.27884861858929e-07,True
climbingMeanEffortIntensity,cycling,next_day,0.11160425702761649,7.839420113170099e-07,True
manicTimeDelta_corrected,surfing,next_2_days,0.11149223562771664,8.042462142281242e-07,True
climbingDenivelation,climbingMeanEffortIntensity,next_2_days,0.1113577713094161,8.29287050363775e-07,True
climbing,tracker_mean_denivelation,next_3_days,0.11116833217046772,1.8806541983552186e-06,True
cycling,climbingDenivelation,next_2_days,0.11081674423999961,9.378363521703358e-07,True
cycling,climbingMaxEffortIntensity,next_day,0.11064071336979402,9.760120049620187e-07,True
swimming,foreheadEyesPain,same_day,0.11052407490567624,9.957485526232494e-07,True
foreheadEyesPain,swimming,same_day,0.11052407490567621,9.957485526232494e-07,True
swimmingKm,whatPulseT_corrected,next_5_days,0.11012262224216555,1.0972418788944934e-06,True
manicTimeDelta_corrected,wholeArm,next_2_days,0.10983881224822252,1.16966081995301e-06,True
climbingMeanEffortIntensity,climbingDenivelation,next_4_days,0.10955995570405955,1.2452786496693764e-06,True
timeDrivingCar,tracker_mean_denivelation,next_3_days,0.10802762575533764,3.6496975393936853e-06,True
tracker_mean_distance,timeDrivingCar,next_3_days,0.10791643880581835,1.795883141368354e-06,True
timeDrivingCar,climbing,next_5_days,0.10765412832688107,1.903028513576986e-06,True
scooterRiding,swimmingKm,next_5_days,0.10731375836548333,2.051233837006744e-06,True
climbingDenivelation,tracker_mean_denivelation,next_3_days,0.10709145269684955,4.431740954395479e-06,True
climbingMaxEffortIntensity,tracker_mean_denivelation,next_3_days,0.10639959274968235,5.110246054325478e-06,True
scooterRiding,manicTimeDelta_corrected,next_day,0.10593511444024928,2.7729119620359254e-06,True
whatPulseT_corrected,surfing,next_4_days,0.10586218635638028,2.817194998195783e-06,True
cycling,climbing,next_day,0.1056461558478351,2.9523867166540737e-06,True
climbingDenivelation,cycling,next_2_days,0.10524052362725979,3.2232145859208122e-06,True
swimming,scooterRiding,next_5_days,0.10516414550417696,3.2768058535429744e-06,True
whatPulseT_corrected,surfing,next_5_days,0.10443319016486424,3.8347680386040704e-06,True
kneePain,wholeArm,next_4_days,0.10406319283493093,4.150820784787112e-06,True
swimmingKm,whatPulseT_corrected,next_4_days,0.10383608078880754,4.3570164164684425e-06,True
scooterRiding,surfing,next_day,0.10376857586364141,4.42017136397019e-06,True
kneePain,wholeArm,next_5_days,0.1034309533319628,4.749415674591859e-06,True
scooterRiding,whatPulseT_corrected,next_5_days,0.10341519344874447,4.765344184978581e-06,True
swimmingKm,whatPulseT_corrected,next_2_days,0.10332818860228576,4.854204337473525e-06,True
manicTimeDelta_corrected,surfing,next_5_days,0.10331612413248117,4.866650558340093e-06,True
kneePain,wholeArm,next_3_days,0.10283446318698691,5.389270229641931e-06,True
swimmingKm,whatPulseT_corrected,next_3_days,0.10241939927533474,5.88231407419524e-06,True
wholeArm,kneePain,same_day,0.10231304658406136,5.982444911316897e-06,True
kneePain,wholeArm,same_day,0.10231304658406135,5.982444911316897e-06,True
wholeArm,scooterRiding,next_3_days,0.10139285682571204,7.293804042852486e-06,True
swimming,whatPulseT_corrected,next_5_days,0.10116097454289891,7.65474602845861e-06,True
kneePain,wholeArm,next_2_days,0.10105456860290411,7.826029077380585e-06,True
wholeArm,scooterRiding,next_5_days,0.1007111583575716,8.404149787085372e-06,True
tracker_mean_distance,tracker_mean_denivelation,next_2_days,0.10053866004646123,1.6584504871830587e-05,True
timeDrivingCar,tracker_mean_distance,next_2_days,0.10021860497527008,9.304994977839849e-06,True
tracker_mean_denivelation,climbingDenivelation,next_3_days,0.0997411329552983,1.9561097044325204e-05,True
wholeArm,scooterRiding,next_4_days,0.09962993440498458,1.0502712735580518e-05,True
tracker_mean_denivelation,climbing,next_3_days,0.09962612101178206,1.999968020361597e-05,True
swimmingKm,manicTimeDelta_corrected,next_2_days,0.09951851800503325,1.0745374251650928e-05,True
cycling,viaFerrata,next_2_days,0.09934234562297403,1.1140020997875071e-05,True
tracker_mean_denivelation,tracker_mean_distance,next_4_days,0.09920776616507089,2.1675255216823388e-05,True
swimming,scooterRiding,next_4_days,0.09909242320321757,1.1723666145257171e-05,True
timeDrivingCar,climbing,next_4_days,0.09836463682471182,1.3594012088070122e-05,True
tracker_mean_denivelation,climbingDenivelation,next_2_days,0.0983048884793277,2.575766752307807e-05,True
kneePain,wholeArm,next_day,0.09786099187013172,1.5051320693461011e-05,True
swimming,whatPulseT_corrected,next_4_days,0.09779597505829399,1.5249954111428338e-05,True
tracker_mean_distance,timeDrivingCar,next_day,0.09770965677949765,1.551752708247273e-05,True
swimming,scooterRiding,next_2_days,0.09744501267238641,1.636603763750436e-05,True
climbingMeanEffortIntensity,climbingDenivelation,next_2_days,0.09740910581361674,1.6484512110298266e-05,True
whatPulseT_corrected,swimmingKm,next_day,0.09713787980098745,1.7406176287647832e-05,True
climbingMeanEffortIntensity,climbingDenivelation,next_3_days,0.09676932301560935,1.8737474135671273e-05,True
wholeArm,scooterRiding,next_2_days,0.09674302520892575,1.8836082059522613e-05,True
tracker_mean_denivelation,tracker_mean_distance,next_3_days,0.09669548997669183,3.4907117659867726e-05,True
tracker_mean_denivelation,climbingMaxEffortIntensity,next_3_days,0.09602458580327966,3.9568257507450636e-05,True
whatPulseT_corrected,swimmingKm,next_5_days,0.09571528898025401,2.3100667265157566e-05,True
cycling,climbingMeanEffortIntensity,next_day,0.09559302216436555,2.3665215930296648e-05,True
whatPulseT_corrected,surfing,next_2_days,0.09559094103101749,2.3674937849864836e-05,True
climbingMeanEffortIntensity,tracker_mean_denivelation,next_4_days,0.09554278977876726,4.244477494524572e-05,True
whatPulseT_corrected,swimmingKm,next_2_days,0.09550937451601273,2.4058977035096866e-05,True
tracker_mean_denivelation,climbingMeanEffortIntensity,next_5_days,0.0954861624343411,4.37298136413461e-05,True
tracker_mean_denivelation,climbingDenivelation,next_day,0.09481505845520405,4.9498821343483656e-05,True
timeDrivingCar,climbingMaxEffortIntensity,next_5_days,0.09479521599767475,2.7683884392339007e-05,True
